UPC,BRAND,BRAND VARIANT,PROMOTION,PRODUCT COUNT,PACK COUNT,SHAPE,SIZE,PRICE,COMMENT,VIEW
999999997535,STARBUCKS,TOASTED GRAHAM FLAVORED GROUND COFFEE SIGNATURE COLLECTION,,22 COUNT,1 PACK,BOX,7.2 OZ,14.92,,
999999997536,STARBUCKS,CAFE VERONA ROAST SWEET AND DARK COCOA DARK ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,
999999997537,STARBUCKS,FRENCH ROAST INTENSE & SMOKY DARK ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,
999999997538,STARBUCKS,VERANDA BLEND MELLOW AND SOFT STARBUCKS BLONDE ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,
999999997539,STARBUCKS,PUMPKIN SPICE FLAVORED GROUND COFFEE WITH OTHER NATURAL FLAVORS,,22 COUNT,1 PACK,BOX,8 OZ,14.96,,
999999997540,STARBUCKS,FALL BLEND HEARTY WITH SPICE NOTES 2019 MEDIUM ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.96,,
999999997541,STARBUCKS,TOFFEENUT FLAVORED GROUND COFFEE,,22 COUNT,1 PACK,BOX,,14.92,,
999999997542,STARBUCKS,CARAMEL FLAVORED COFFEE,,22 COUNT,1 PACK,BOX,,14.98,,
999999997543,STARBUCKS,FRENCH ROAST DARK GROUND COFFEE,,24 COUNT,1 PACK,BOX,,26.55,,
999999997544,STARBUCKS,DECAF PIKE PLACE MEDIUM ROAST,,24 COUNT,1 PACK,BOX,,,,
999999997545,STARBUCKS,VERANDA BLEND BLONDE CROUND COFFEE,,24 COUNT,1 PACK,BOX,,,,
999999997546,STARBUCKS,SUMATRA SINGLE ORIGIN COFFEE,,24 COUNT,1 PACK,BOX,,,,
999999997547,STARBUCKS,CARAMEL FLAVORED COFFEE,,24 COUNT,1 PACK,BOX,,25.44,,
999999997548,STARBUCKS,vanilla flavored coffee,,22 count,1 PACK,box,,14.98,,
999999997549,STARBUCKS,HOLIDAY BLEND MEDIUM ROAST GROUND COFFEE,,22 count,1 PACK,BOX,,14.96,,
999999997550,SEATTLE’S BEST,VIBRANT AND CRISP BREAKFAST BLEND MEDIUM ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,box,,12.49,,
999999997551,SEATTLE’S BEST,FULL AND BALANCED HOUSE BLEND MEDIUM ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,box,,12.49,,
5_999999997529,5_STARBUCKS,HOUSE BLEND RICH AND LIVELY MEDIUM ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,PARTIAL VIEW
5_999999997530,5_STARBUCKS,SUMATRA SINGLE ORIGIN EARTHLY AND HERBAL DARK,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,PARTIAL VIEW
5_999999997531,5_STARBUCKS,CINNAMON DOLCE FLAVORED GROUND COFFEE,,22 COUNT,1 PACK,BOX,,14.98,,PARTIAL VIEW
5_999999997532,5_STARBUCKS,PIKE PLACE ROAST SMOOTH & BALANCED MEDIUM ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.7 OZ,14.98,,PARTIAL VIEW
5_999999997533,5_STARBUCKS,BREAKFAST BLEND BRIGHT AND TANGY MEDIUM ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.7 OZ,14.98,,PARTIAL VIEW
5_999999997534,5_STARBUCKS,DECAF HOUSE BLEND RICH AND LIVELY MEDIUM ROAST DECAFEINATED GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,PARTIAL VIEW
5_999999997535,5_STARBUCKS,TOASTED GRAHAM FLAVORED GROUND COFFEE SIGNATURE COLLECTION,,22 COUNT,1 PACK,BOX,7.2 OZ,14.92,,PARTIAL VIEW
5_999999997536,5_STARBUCKS,CAFE VERONA ROAST SWEET AND DARK COCOA DARK ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,PARTIAL VIEW
5_999999997537,5_STARBUCKS,FRENCH ROAST INTENSE & SMOKY DARK ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,PARTIAL VIEW
5_999999997538,5_STARBUCKS,VERANDA BLEND MELLOW AND SOFT STARBUCKS BLONDE ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.98,,PARTIAL VIEW
5_999999997539,5_STARBUCKS,PUMPKIN SPICE FLAVORED GROUND COFFEE WITH OTHER NATURAL FLAVORS,,22 COUNT,1 PACK,BOX,8 OZ,14.96,,PARTIAL VIEW
5_999999997540,5_STARBUCKS,FALL BLEND HEARTY WITH SPICE NOTES 2019 MEDIUM ROAST GROUND COFFEE,,22 COUNT,1 PACK,BOX,9.3 OZ,14.96,,PARTIAL VIEW
5_999999997541,5_STARBUCKS,TOFFEENUT FLAVORED GROUND COFFEE,,22 COUNT,1 PACK,BOX,,14.92,,PARTIAL VIEW
5_999999997542,5_STARBUCKS,CARAMEL FLAVORED COFFEE,,22 COUNT,1 PACK,BOX,,14.98,,PARTIAL VIEW
5_999999997543,5_STARBUCKS,FRENCH ROAST DARK GROUND COFFEE,,24 COUNT,1 PACK,BOX,,26.55,,PARTIAL VIEW
5_999999997544,5_STARBUCKS,DECAF PIKE PLACE MEDIUM ROAST,,24 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
5_999999997545,5_STARBUCKS,VERANDA BLEND BLONDE CROUND COFFEE,,24 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
5_999999997546,5_STARBUCKS,SUMATRA SINGLE ORIGIN COFFEE,,24 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
5_999999997547,5_STARBUCKS,CARAMEL FLAVORED COFFEE,,24 COUNT,1 PACK,BOX,,25.44,,PARTIAL VIEW
5_999999997548,5_STARBUCKS,vanilla flavored coffee,,22 count,1 PACK,box,,14.98,,PARTIAL VIEW
5_999999997549,5_STARBUCKS,HOLIDAY BLEND MEDIUM ROAST GROUND COFFEE,,22 count,1 PACK,BOX,,14.96,,PARTIAL VIEW
5_999999997550,5_SEATTLE’S BEST,VIBRANT AND CRISP BREAKFAST BLEND MEDIUM ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,box,,12.49,,PARTIAL VIEW
5_999999997551,5_SEATTLE’S BEST,FULL AND BALANCED HOUSE BLEND MEDIUM ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,box,,12.49,,PARTIAL VIEW
999999997552,STARBUCKS,SUMATRA DARK ROAST SINGLE CUP COFFEE EARTHY & HERBAL DARK ROAST,,32 COUNT,1 PACK,BOX,,,,
5_999999997552,5_STARBUCKS,SUMATRA DARK ROAST SINGLE CUP COFFEE EARTHY & HERBAL DARK ROAST,,32 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
999999997553,STARBUCKS,BRAZIL LATIN AMERICAN BLEND,,1 COUNT,1 PACK,POUCH,9 OZ,,,
5_999999997553,5_STARBUCKS,BRAZIL LATIN AMERICAN BLEND,,1 COUNT,1 PACK,POUCH,9 OZ,,,PARTIAL VIEW
999999997554,STARBUCKS,BREAKFAST BLEND BRIGHT AND TANGY MEDIUM GROUND 100% ARABICA COFFEE,,1 COUNT,1 PACK,POUCH,20 OZ,11.18,,
5_999999997554,5_STARBUCKS,BREAKFAST BLEND BRIGHT AND TANGY MEDIUM GROUND 100% ARABICA COFFEE,,1 COUNT,1 PACK,POUCH,20 OZ,11.18,,PARTIAL VIEW
999999997555,STARBUCKS,PUMPKIN SPICE FLAVORED GROUND COFFEE WITH OTHER NATURAL FLAVORS,LIMITED EDITION,1 COUNT,1 PACK,POUCH,11 OZ,6.98,,
5_999999997555,5_STARBUCKS,PUMPKIN SPICE FLAVORED GROUND COFFEE WITH OTHER NATURAL FLAVORS,LIMITED EDITION,1 COUNT,1 PACK,POUCH,11 OZ,6.98,,PARTIAL VIEW
1_999999823877,1_SEATTLES BEST COFFEE,POST ALLEY BLEND 5 SMOKEY AND INTENSE DARK ROAST SMOOTH ROASTED,,1 COUNT,1 PACK,POUCH,12 OZ,5.98,,SIDE VIEW
999999997556,STARBUCKS,PLUS COFFEE WITH 2X CAFFEINE BLONDE ROAST,,16 COUNT,1 PACK,BOX,6.9 OZ,12.98,,
5_999999997556,5_STARBUCKS,PLUS COFFEE WITH 2X CAFFEINE BLONDE ROAST,,16 COUNT,1 PACK,BOX,6.9 OZ,12.98,,PARTIAL VIEW
6_999999982162,6_STARBUCKS,VERANDA BLEND,,32 COUNT,1 PACK,BOX,,,,ANGLED VIEW
999999997557,STARBUCKS,HOLIDAY BLEND HERBAL AND SWEET MAPLE NOTES 2019,,1 COUNT,1 PACK,POUCH,10 OZ,6.98,,
999999997558,STARBUCKS,HOLIDAY BLEND HERBAL AND SWEET MAPLE NOTES 2019,,1 COUNT,1 PACK,POUCH,18 OZ,11.98,,
5_999999997557,5_STARBUCKS,HOLIDAY BLEND HERBAL AND SWEET MAPLE NOTES 2019,,1 COUNT,1 PACK,POUCH,10 OZ,6.98,,PARTIAL VIEW
5_999999997558,5_STARBUCKS,HOLIDAY BLEND HERBAL AND SWEET MAPLE NOTES 2019,,1 COUNT,1 PACK,POUCH,18 OZ,11.98,,PARTIAL VIEW
1_999999823870,1_STARBUCKS,VANILLA FLAVORED GROUND COFFEE WITH OTHER NATURAL FLAVORS VELVETTY AND RICH,,1 COUNT,1 PACK,POUCH,11 OZ,6.42,,SIDE VIEW
999999997559,COMMUNITY COFFEE,FILTERS,,1 COUNT,1 PACK,BOX,,,,
999999997560,SEATTLES BEST COFFEE,POST ALLEY BLEND 5 SMOKEY AND INTENSE DARK ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,BOX,,,,
999999997561,SEATTLES BEST COFFEE,HOUSE BLEND MEDIUM COFFEE,,24 COUNT,1 PACK,BOX,,,,
999999997562,SEATTLES BEST COFFEE,VIBRANT AND CRISP BREAKFAST BLEND MEDIUM ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,BOX,,,,
5_999999997560,5_SEATTLES BEST COFFEE,POST ALLEY BLEND 5 SMOKEY AND INTENSE DARK ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
5_999999997561,5_SEATTLES BEST COFFEE,HOUSE BLEND MEDIUM COFFEE,,24 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
5_999999997562,5_SEATTLES BEST COFFEE,VIBRANT AND CRISP BREAKFAST BLEND MEDIUM ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
6_999999997560,6_SEATTLES BEST COFFEE,POST ALLEY BLEND 5 SMOKEY AND INTENSE DARK ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,BOX,,,,ANGLED VIEW
6_999999997561,6_SEATTLES BEST COFFEE,HOUSE BLEND MEDIUM COFFEE,,24 COUNT,1 PACK,BOX,,,,ANGLED VIEW
6_999999997562,6_SEATTLES BEST COFFEE,VIBRANT AND CRISP BREAKFAST BLEND MEDIUM ROAST SMOOTH ROASTED,,24 COUNT,1 PACK,BOX,,,,ANGLED VIEW
999999997563,COMMUNITY COFFEE,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,
1_999999997563,1_COMMUNITY COFFEE,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,SIDE VIEW
5_999999997563,5_COMMUNITY COFFEE,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,PARTIAL VIEW
6_999999982320,6_SWISS MISS,HOT COCOA MIX,,,,BOX,,,,ANGLED VIEW
999999997564,STARBUCKS,COSTA RICA LATIN AMERICAN BLEND GROUND COFFEE,,1 COUNT,1 PACK,POUCH,9 OZ,,,
999999997565,SF BAY COFFEE,GROUND COFFEE,,1 COUNT,1 PACK,POUCH,,,,
1_999999997564,1_STARBUCKS,COSTA RICA LATIN AMERICAN BLEND GROUND COFFEE,,1 COUNT,1 PACK,POUCH,9 OZ,,,SIDE VIEW
1_999999997565,1_SF BAY COFFEE,GROUND COFFEE,,1 COUNT,1 PACK,POUCH,,,,SIDE VIEW
